FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
59,14.999,37.748,0.000007,20061106,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
60,14.999,37.748,0.00018,20061124,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
61,14.999,37.748,0.00015,20110112,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
62,14.999,37.748,0.002,20130223,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
63,14.999,37.748,0.00138,20131123,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
64,14.999,37.748,0.0000355,20160518,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
65,14.999,37.748,0.00000555,20160521,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
66,14.999,37.748,0.234,19830328,131,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
67,14.999,37.748,0.026,19840428,172,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
68,14.999,37.748,0.0715,19850312,123,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
69,14.999,37.748,0.148,19861030,122,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
70,14.999,37.748,0.0676,19890927,12,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
71,14.999,37.748,0.601,19911214,473,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
72,14.999,37.748,0.0255,20021027,9,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
73,14.999,37.748,0.00234,20021028,4,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
74,14.999,37.748,0.0735,20021113,77,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
75,14.999,37.748,0.00294,20070904,1,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
76,14.999,37.748,0.00406,20071123,1,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
77,14.999,37.748,0.0149,20080510,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
78,14.999,37.748,0.192,20080513,419,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
79,14.999,37.748,0.0143,20130219,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
80,14.999,37.748,0.00754,20130403,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
81,14.999,37.748,0.00182,20130412,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
82,14.999,37.748,0.0078,20130418,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
83,14.999,37.748,0.00338,20130420,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
84,14.999,37.748,0.00234,20130427,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
85,14.999,37.748,0.00439,20131026,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
86,14.999,37.748,0.00442,20131111,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
87,14.999,37.748,0.0013,20131116,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
88,14.999,37.748,0.00182,20131128,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
89,14.999,37.748,0.00234,20131202,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
90,14.999,37.748,0.00416,20131215,3,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
91,14.999,37.748,0.0052,20131229,3,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
92,14.999,37.748,0.0203,20140122,76,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
93,14.999,37.748,0.00598,20140614,4,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
94,14.999,37.748,0.0153,20140705,36,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
95,14.999,37.748,0.00676,20140808,5,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
96,-19.633,63.633,0.048,20100320,23,2010,1651,29,87,38,14,420,24,3,4,2,2,2
97,-19.633,63.633,0.17,20100414,4,2010,1651,29,87,38,14,420,24,3,4,2,2,2
98,-19.633,63.633,0.19,20100505,13,2010,1651,29,87,38,14,420,24,3,4,2,2,2
99,-19.633,63.633,0.01,20100518,5,2010,1651,29,87,38,14,420,24,3,4,2,2,2
100,-19.633,63.633,0.104,20100418,17,2010,1651,29,87,38,14,420,24,3,4,2,2,2
101,-91.55,-0.37,0.0405,19880914,2,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
102,-91.55,-0.37,0.113,19950125,73,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
103,-91.55,-0.37,0.0378,20050513,17,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
