FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
275,29.2,-1.408,0.125,20000127,16,2024,3058,39,112,131,27,40,34,4,3,2,1,4
276,29.2,-1.408,0.371,20010206,59,2024,3058,39,112,131,27,40,34,4,3,2,1,4
277,29.2,-1.408,0.15,20020725,64,2024,3058,39,112,131,27,40,34,4,3,2,1,4
278,29.2,-1.408,0.21,20040508,21,2024,3058,39,112,131,27,40,34,4,3,2,1,4
279,29.2,-1.408,0.123,20061127,13,2024,3058,39,112,131,27,40,34,4,3,2,1,4
280,29.2,-1.408,0.152,20100102,26,2024,3058,39,112,131,27,40,34,4,3,2,1,4
281,29.2,-1.408,0.269,20111106,148,2024,3058,39,112,131,27,40,34,4,3,2,1,4
282,29.2,-1.408,0.00398,20140530,716,2024,3058,39,112,131,27,40,34,4,3,2,1,4
283,29.2,-1.408,0.0331,20161127,157,2024,3058,39,112,131,27,40,34,4,3,2,1,4
284,29.2,-1.408,0.0424,20180418,379,2024,3058,39,112,131,27,40,34,4,3,2,1,4
285,29.2,-1.408,0.207,19890424,104,2024,3058,39,112,131,27,40,34,4,3,2,1,4
286,29.2,-1.408,0.0627,19890424,5,2024,3058,39,112,131,27,40,34,4,3,2,1,4
287,29.25,-1.52,0.406,19820621,118,2024,3470,36,110,131,27,38,34,3,4,2,1,7
288,29.25,-1.52,0.162,19940623,632,2024,3470,36,110,131,27,38,34,3,4,2,1,7
289,29.25,-1.52,0.0728,20020117,17,2024,3470,36,110,131,27,38,34,3,4,2,1,7
290,29.25,-1.52,0.165,20020517,3292,2024,3470,36,110,131,27,38,34,3,4,2,1,7
291,29.25,-1.52,0.087,20160000,1461,2024,3470,36,110,131,27,38,34,3,4,2,1,7
292,-168.13,53.43,0.442,20080712,38,2008,1073,150,85,54,27,125,26,4,3,3,3,2
293,-168.13,53.43,0.4,19970211,97,2008,1073,150,85,54,27,125,26,4,3,3,3,2
294,-90.601,14.382,0.043,19910721,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
295,-90.601,14.382,0.0039,19961111,0,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
296,-90.601,14.382,0.0023,19980520,0,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
297,-90.601,14.382,0.0108,20100527,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
298,-90.601,14.382,0.0156,19610310,81,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
299,-90.601,14.382,0.0000508,19610310,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
300,-90.601,14.382,0.000017,19610310,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
301,-90.601,14.382,0.0000495,19610310,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
302,-90.601,14.382,0.0000225,19610310,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
303,-90.601,14.382,0.00000138,19650808,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
304,-90.601,14.382,0.00000138,19651212,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
305,-90.601,14.382,0.000327,19651210,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
306,-90.601,14.382,0.000451,19660109,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
307,-90.601,14.382,0.00041,19660426,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
308,-90.601,14.382,0.000323,19660521,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
309,-90.601,14.382,0.0000046,19670105,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
310,-90.601,14.382,0.00000368,19670226,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
311,-90.601,14.382,0.00000299,19670226,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
312,-90.601,14.382,0.00000299,19670226,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
313,-90.601,14.382,0.000856,19670409,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
314,-90.601,14.382,0.00228,19670702,135,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
315,-90.601,14.382,0.000459,19670902,120,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
316,-90.601,14.382,0.0013,19671130,1445,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
317,-90.601,14.382,0.000399,19680101,62,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
318,-90.601,14.382,0.000222,19680103,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
319,-90.601,14.382,0.000322,19680211,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
320,-90.601,14.382,0.000554,19681020,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
321,-90.601,14.382,0.000775,19681124,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
322,-90.601,14.382,0.000324,19690607,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
323,-90.601,14.382,0.0000722,19691014,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
324,-90.601,14.382,0.00034,19691124,74,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
325,-90.601,14.382,0.000111,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
326,-90.601,14.382,0.0000922,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
327,-90.601,14.382,0.0000398,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
328,-90.601,14.382,0.0000304,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
329,-90.601,14.382,0.0000209,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
330,-90.601,14.382,0.000032,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
331,-90.601,14.382,0.000115,19700906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
332,-90.601,14.382,0.00737,19701212,148,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
333,-90.601,14.382,0.000125,19711114,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
334,-90.601,14.382,0.0000547,19720102,31,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
335,-90.601,14.382,0.00456,19720202,25,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
336,-90.601,14.382,0.00000184,19720306,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
337,-90.601,14.382,0.00000575,19721006,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
338,-90.601,14.382,0.00000138,19721006,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
339,-90.601,14.382,0.0105,19721022,259,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
340,-90.601,14.382,0.00407,19740120,526,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
341,-90.601,14.382,0.00321,19740209,155,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
342,-90.601,14.382,0.0244,19740224,133,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
343,-90.601,14.382,0.00159,19741110,230,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
344,-90.601,14.382,0.00939,19750718,54,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
345,-90.601,14.382,0.00157,19801005,248,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
346,-90.601,14.382,0.0000225,19801102,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
347,-90.601,14.382,0.00000621,19801102,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
348,-90.601,14.382,0.000316,19811009,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
349,-90.601,14.382,0.0173,19820214,357,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
350,-90.601,14.382,0.00000598,19830904,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
351,-90.601,14.382,0.000359,19830911,13,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
352,-90.601,14.382,0.00000161,19830911,13,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
353,-90.601,14.382,0.000221,19830915,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
354,-90.601,14.382,0.000081,19830922,8,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
355,-90.601,14.382,0.0000497,19830922,8,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
356,-90.601,14.382,0.000178,19831120,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
357,-90.601,14.382,0.000222,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
358,-90.601,14.382,0.00000299,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
359,-90.601,14.382,0.00000322,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
360,-90.601,14.382,0.00000345,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
361,-90.601,14.382,0.00000184,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
362,-90.601,14.382,0.00000253,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
363,-90.601,14.382,0.00000299,19831204,84,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
364,-90.601,14.382,0.000075,19840303,8,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
365,-90.601,14.382,0.0000536,19840311,13,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
366,-90.601,14.382,0.0000419,19840311,13,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
367,-90.601,14.382,0.0000773,19840323,37,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
368,-90.601,14.382,0.000119,19840509,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
369,-90.601,14.382,0.00336,19840525,257,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
370,-90.601,14.382,0.0000267,19841219,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
371,-90.601,14.382,0.0000237,19850119,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
372,-90.601,14.382,0.0000104,19850119,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
373,-90.601,14.382,0.00000506,19851019,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
374,-90.601,14.382,0.00000575,19850119,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
375,-90.601,14.382,0.00000046,19850210,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
376,-90.601,14.382,0.000342,19850224,27,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
377,-90.601,14.382,0.00000253,19850303,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
378,-90.601,14.382,0.00000529,19850314,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
379,-90.601,14.382,0.000191,19850630,10,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
380,-90.601,14.382,0.000184,19850728,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
381,-90.601,14.382,0.0000439,19860116,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
382,-90.601,14.382,0.0000336,19860116,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
383,-90.601,14.382,0.0000373,19860116,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
384,-90.601,14.382,0.00016,19860202,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
385,-90.601,14.382,0.0000699,19860302,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
386,-90.601,14.382,0.0000518,19860309,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
387,-90.601,14.382,0.0000577,19861116,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
388,-90.601,14.382,0.000177,19870121,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
389,-90.601,14.382,0.000357,19870125,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
390,-90.601,14.382,0.0000506,19870504,37,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
391,-90.601,14.382,0.000725,19870505,26,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
392,-90.601,14.382,0.0000915,19870518,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
393,-90.601,14.382,0.0000495,19870518,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
394,-90.601,14.382,0.0000787,19870605,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
395,-90.601,14.382,0.0000702,19870605,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
396,-90.601,14.382,0.000522,19870614,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
397,-90.601,14.382,0.000102,19870726,14,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
398,-90.601,14.382,0.00006,19870806,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
399,-90.601,14.382,0.00000874,19870815,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
400,-90.601,14.382,0.000261,19870821,101,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
401,-90.601,14.382,0.0000844,19870827,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
402,-90.601,14.382,0.000117,19870902,64,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
403,-90.601,14.382,0.0000373,19871201,32,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
404,-90.601,14.382,0.00000437,19871213,17,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
405,-90.601,14.382,0.0000129,19880102,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
406,-90.601,14.382,0.0000138,19880107,20,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
407,-90.601,14.382,0.0000593,19880128,32,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
408,-90.601,14.382,0.00000851,19880130,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
409,-90.601,14.382,0.0000455,19880201,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
410,-90.601,14.382,0.0000154,19880223,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
411,-90.601,14.382,0.000202,19880301,21,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
412,-90.601,14.382,0.00000644,19880302,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
413,-90.601,14.382,0.00000276,19880311,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
414,-90.601,14.382,0.0000023,19880315,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
415,-90.601,14.382,0.00000184,19880316,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
416,-90.601,14.382,0.00000276,19880319,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
417,-90.601,14.382,0.0000101,19880526,64,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
418,-90.601,14.382,0.0000145,19880527,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
419,-90.601,14.382,0.00000575,19880527,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
420,-90.601,14.382,0.0000113,19880607,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
421,-90.601,14.382,0.00000713,19880607,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
422,-90.601,14.382,0.000014,19880608,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
423,-90.601,14.382,0.00000598,19880608,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
424,-90.601,14.382,0.00000575,19880608,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
425,-90.601,14.382,0.0000124,19880610,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
426,-90.601,14.382,0.00000552,19880610,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
427,-90.601,14.382,0.00000667,19880611,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
428,-90.601,14.382,0.00000598,19880611,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
429,-90.601,14.382,0.00000368,19880612,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
430,-90.601,14.382,0.00000897,19880614,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
431,-90.601,14.382,0.00000368,19880617,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
432,-90.601,14.382,0.0000046,19880618,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
433,-90.601,14.382,0.0000221,19880619,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
434,-90.601,14.382,0.00000828,19880620,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
435,-90.601,14.382,0.0000127,19880623,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
436,-90.601,14.382,0.0000115,19880623,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
437,-90.601,14.382,0.0000276,19880624,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
438,-90.601,14.382,0.0000465,19880626,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
439,-90.601,14.382,0.0000253,19880626,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
440,-90.601,14.382,0.0000513,19880627,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
441,-90.601,14.382,0.0000193,19880627,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
442,-90.601,14.382,0.0000253,19880627,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
443,-90.601,14.382,0.0000357,19880628,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
444,-90.601,14.382,0.0000297,19880628,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
445,-90.601,14.382,0.000023,19880629,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
446,-90.601,14.382,0.0000322,19880701,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
447,-90.601,14.382,0.000032,19880702,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
448,-90.601,14.382,0.0000301,19880703,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
449,-90.601,14.382,0.0000177,19880723,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
450,-90.601,14.382,0.00000529,19880901,17,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
451,-90.601,14.382,0.0000182,19881001,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
452,-90.601,14.382,0.0000267,19881005,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
453,-90.601,14.382,0.0000311,19881005,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
454,-90.601,14.382,0.0000173,19881007,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
455,-90.601,14.382,0.0000221,19881009,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
456,-90.601,14.382,0.0000184,19881011,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
457,-90.601,14.382,0.0000124,19881012,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
458,-90.601,14.382,0.0000193,19881103,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
459,-90.601,14.382,0.0000258,19881105,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
460,-90.601,14.382,0.0000357,19881106,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
461,-90.601,14.382,0.0000156,19881108,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
462,-90.601,14.382,0.0000198,19881111,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
463,-90.601,14.382,0.00000276,19881112,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
464,-90.601,14.382,0.00000782,19881114,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
465,-90.601,14.382,0.0000152,19881115,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
466,-90.601,14.382,0.00000115,19881116,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
467,-90.601,14.382,0.000026,19881118,12,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
468,-90.601,14.382,0.0000246,19881118,12,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
469,-90.601,14.382,0.00000483,19881118,12,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
470,-90.601,14.382,0.0000251,19881201,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
471,-90.601,14.382,0.00000391,19881206,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
472,-90.601,14.382,0.0000117,19881208,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
473,-90.601,14.382,0.00000368,19881220,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
474,-90.601,14.382,0.00000529,19881221,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
475,-90.601,14.382,0.00000368,19881224,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
476,-90.601,14.382,0.00000437,19881226,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
477,-90.601,14.382,0.00000437,19881229,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
478,-90.601,14.382,0.00334,19890307,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
479,-90.601,14.382,0.000868,19890307,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
480,-90.601,14.382,0.0000513,19900402,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
481,-90.601,14.382,0.00000529,19900714,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
482,-90.601,14.382,0.00000483,19900714,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
483,-90.601,14.382,0.0000124,19900820,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
484,-90.601,14.382,0.0000202,19900915,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
485,-90.601,14.382,0.000183,19901103,158,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
486,-90.601,14.382,0.0000511,19910104,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
487,-90.601,14.382,0.0000138,19910104,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
488,-90.601,14.382,0.00000345,19910104,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
489,-90.601,14.382,0.00000805,19910104,11,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
490,-90.601,14.382,0.00000345,19910206,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
491,-90.601,14.382,0.0000046,19910511,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
492,-90.601,14.382,0.0000283,19910611,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
493,-90.601,14.382,0.00000391,19910614,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
494,-90.601,14.382,0.000106,19910727,4,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
495,-90.601,14.382,0.00172,19911027,73,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
496,-90.601,14.382,0.000221,19911110,8,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
497,-90.601,14.382,0.0000177,19920501,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
498,-90.601,14.382,0.0000106,19920501,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
499,-90.601,14.382,0.000564,19920506,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
500,-90.601,14.382,0.0000782,19920822,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
501,-90.601,14.382,0.0000104,19920822,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
502,-90.601,14.382,0.000197,19920906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
503,-90.601,14.382,0.00000966,19920906,9,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
504,-90.601,14.382,0.000213,19930110,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
505,-90.601,14.382,0.000172,19930111,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
506,-90.601,14.382,0.0000472,19920921,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
507,-90.601,14.382,0.000123,19931108,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
508,-90.601,14.382,0.000109,19940205,7,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
509,-90.601,14.382,0.000046,19940316,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
510,-90.601,14.382,0.0000989,19941012,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
511,-90.601,14.382,0.00011,19941012,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
512,-90.601,14.382,0.000095,19941012,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
513,-90.601,14.382,0.0000621,19950614,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
514,-90.601,14.382,0.000492,19950621,79,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
515,-90.601,14.382,0.000871,19961010,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
516,-90.601,14.382,0.00772,19961111,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
517,-90.601,14.382,0.000131,19961113,2,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
518,-90.601,14.382,0.0000338,19970730,5,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
519,-90.601,14.382,0.00295,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
520,-90.601,14.382,0.000221,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
521,-90.601,14.382,0.000206,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
522,-90.601,14.382,0.000166,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
523,-90.601,14.382,0.0000527,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
524,-90.601,14.382,0.0000403,19980520,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
525,-90.601,14.382,0.0016,19980918,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
526,-90.601,14.382,0.00385,19980918,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
527,-90.601,14.382,0.000117,19980918,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
528,-90.601,14.382,0.00149,19980918,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
529,-90.601,14.382,0.000155,19991223,8,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
530,-90.601,14.382,0.000168,20000104,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
531,-90.601,14.382,0.00146,20000110,6,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
532,-90.601,14.382,0.00138,20000116,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
533,-90.601,14.382,0.0011,20000116,1,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
534,-90.601,14.382,0.00144,20000122,3,2021,2569,52,364,37,18.5,-3,37,3,2,3,1,2
